counter,date,day,time,hours,minutes,seconds,milis
14,29-10-2020,Thursday,22.25,0,1,41,101888
15,29-10-2020,Thursday,22.26,0,1,2,62203
16,29-10-2020,Thursday,22.36,0,9,46,586639
17,29-10-2020,Thursday,22.46,0,9,23,563117
18,29-10-2020,Thursday,22.46,0,0,5,5003
19,29-10-2020,Thursday,22.55,0,8,30,510002
20,29-10-2020,Thursday,22.55,0,0,32,32008
22,30-10-2020,Friday,0.11,0,50,14,3014950
23,30-10-2020,Friday,0.11,0,0,20,20019
24,30-10-2020,Friday,0.18,0,6,18,378038
1,30-10-2020,Friday,0.18,0,0,27,27424
1,30-10-2020,Friday,0.19,0,0,8,8001
1,30-10-2020,Friday,0.26,0,7,15,435343
2,30-10-2020,Friday,0.26,0,0,8,8752
3,30-10-2020,Friday,0.26,0,0,7,7120
1,30-10-2020,Friday,0.27,0,0,46,46631
2,30-10-2020,Friday,0.27,0,0,4,4316
3,30-10-2020,Friday,8.39,8,11,18,29478194